JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
cro0004-0287-f02	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large mass
ad-23-S383-g001	clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
medi-94-e1295-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1750-1172-7-S1-S2-7	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
cam40004-0383-f4	axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the right frontal.axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the right lobe.axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the left frontal
isd-43-59-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
JMAS-11-207-g001	intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the right upper.intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the right eye
jls0011228260004	x-ray of the left eye showing the presence of the lesion in the right lower region <EOS>
IJEM-16-1043-g003	preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large left hip and left lower lobe <EOS>
jkms-29-405-g001	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
JMAS-8-93-g006	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJPS-44-147-g002	preoperative photograph <EOS>
CCD-3-37-g009	intraoral view <EOS>.preoperative view <EOS>
1824-7288-39-11-2	clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large lesion in the right lower lobe of the right upper lobe and
JGES-2-53-g003	intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
1757-1626-0002-0000007012-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1746-1596-9-9-2	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right lower lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
idmm-26-95-1	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
jsls-12-3-310-g02	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
JCVJS-3-62-g004	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
asj-5-155-g001	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
JGES-1-73-g009	intraoperative picture <EOS>
